description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento para Venda em RA V Sobradinho, Sobradinho Quadra 9, 1 dormitório, 1 banheiro;-;40;1;-;1;-;199000;-;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Avenida das AraucáriasSul;81;3;1;2;2;775000;650;1152;-
Taguatinga (Norte) | Apartamento 3 quartos, sendo 1 suite;QNL 7Taguatinga Norte;92;3;1;2;-;255000;252;564;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Avenida FlamboyantNorte;112;3;1;3;1;630000;610;-;-
SQS 214 - OPORTUNIDADE - WhatsApp: - Furtado;SQS 214Asa Sul;123;3;1;3;0;1100000;0;0;-
COMPRO APARTAMENTO NO CRIXÁ!!!!;-;60;2;0;1;1;40000;0;0;-
Águas Claras (Norte) | Apartamento 4 quartos, sendo 2 suites;Rua 13Norte;97;4;2;3;1;950000;884;1113;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 1 suite;Avenida Parque Águas Claras Quadra 301 Conjunto 06Norte;58;2;1;2;1;420000;580;800;-
Samambaia (Norte) | Apartamento 2 quartos, sendo 2 suites;QI 416 Conjunto DSamambaia Norte;55;2;2;2;1;360000;-;-;-
Ed. Siron Franco! SQN 211! Nascente, Andar Alto, Vista Livre, 2 Vagas Soltas!;SQN 211 Bloco EAsa Norte;75;2;1;3;2;1250000;690;2886;-
Taguatinga Sul (Taguatinga) | Apartamento 1 quarto, sendo 1 suite;Setor HoteleiroTaguatinga Centro;28;1;1;1;0;120000;1100;-;-
Águas Claras (Sul) | Apartamento 1 quarto;Rua 37Sul;33;1;-;1;1;315000;350;1000;-
Noroeste | Apartamento 1 quarto, sendo 1 suite;CLNW 10/11 Lote ESetor Noroeste;43;1;1;1;1;429000;-;-;-
Apartamento 02 Quartos, 01 suíte com varanda, garagem e lazer!;Rua 4Setor Habitacional Vicente Pires;62;2;1;1;1;175000;0;0;-
Guará II | Apartamento 1 quarto, sendo 1 suite;Área Especial 2-A Módulo C/DGuará II;35;1;1;2;-;290000;326;300;-
VENDIDO!!!;-;96;2;-;1;1;265000;-;-;-
MOMENTO CERTO PARA TER SEU APARTAMENTO na Rua 4A (Vicente Pires);Rua 4A Blocos 2 e 3Setor Habitacional Vicente Pires;135;2;-;1;0;160000;170;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Rua 30Sul;69;3;1;2;1;565000;650;-;-
Apartamento para Venda em Brasília, Guará II, 1 dormitório, 1 banheiro, 1 vaga;Área Especial 2-AGuará II;37;1;0;1;1;280000;370;0;-
APARTAMENTO 1 QUARTO, QE 40 RUA 21 - GUARÁ II, BRASÍLIA;-;40;1;0;1;0;84000;-;-;-
VENDIDO!!!;-;48;2;-;1;1;295000;-;-;-
Apartamento com 2 quartos à venda - Vicente Pires/DF;Rua 3C Chácara 27CSetor Habitacional Vicente Pires;72;2;0;1;2;225000;270;230;-
Águas Claras (Norte) | Apartamento 1 quarto, sendo 1 suite;Rua 20Norte;37;1;1;1;1;330000;270;702;-
RUA DAS FIGUEIRAS - REFORMADO, 1 QUARTO COM GARAGEM! FIGUEIRAS RESIDENCE & MALL;Rua das FigueirasNorte;35;1;0;1;1;360000;361;638;-
Lazer completo, até 100% financiado, veja detalhes;QR 407 Conjunto 8Samambaia Norte;47;2;-;1;1;165000;-;-;-
SQNW 102 - NOROESTE - 03 SUÍTES;-;130;3;3;5;3;2000000;-;-;-
Atenção! Urgente! $ 54.900 $ excelente ágio! Não Exige Transferência! QS 307! Prestações R$ 530!;QS 307Samambaia Sul;-;1;-;1;-;54900000;0;0;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Avenida das CastanheirasNorte;110;3;1;4;1;750000;-;-;-
Edvaldo Moreira Vende Apartamento 1 quarto com área de lazer Residencial Atual Samambaia Sul Brasíli;QN 312 Conjunto 7Samambaia Sul;30;1;1;1;-;130000;300;0;-
Agende uma visita e veja o decorado e condições;QR 407 Conjunto 5Samambaia Norte;47;2;-;1;0;165000;-;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Rua 12Sul;219;3;1;3;2;859900;685;-;-
URGENTE! Lindo e Reformado Apto! 2Quartos! 58m²! Reformado! Na melhor Localização! Ac. Financiamento;QN 404 Conjunto ESamambaia Norte;-;2;-;1;1;259900;0;0;-
Apartamentos Financiáveis para Venda em Brasília, Santa Maria, 2 dormitórios, 1 banheiro, 1 vaga;Quadra AC 200 Bloco ASanta Maria;45;2;0;1;1;110000;280;0;-
Asa Norte | Apartamento 1 quarto;SHN Quadra 4 Bloco DAsa Norte;35;1;-;1;-;330000;800;-;-
Riacho Fundo II | Apartamento 3 quartos, sendo 1 suite;QS 19 Conjunto 1Riacho Fundo II;83;3;1;2;1;210000;290;-;-
LINDO APARTAMENTO, PRÓXIMO AO LAGO!!!!;-;50;2;0;1;1;69999;0;0;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 2 suites;Rua 13Norte;65;3;2;3;1;555000;547;-;-
VENDA apartamento cnb 10;CNB 10Taguatinga Norte;68;2;-;1;1;245000;0;0;-
Apartamento para Venda em RA XXVI Sobradinho II, Condomínio Comercial e Residencial Sobra;-;35;1;-;1;-;79000;-;-;-
Taguatinga (Norte) | Apartamento 2 quartos;QND 43Taguatinga Norte;72;2;0;1;1;285000;310;550;-
Vicente Pires apartamento futurista;Rua 4A Área FeiraSetor Habitacional Vicente Pires;79;2;0;2;0;316000;0;0;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Rua CopaíbaSul;83;3;1;2;1;630000;716;995;-
Sobrado no Jardim Roriz 390,000;-;128;5;-;5;2;380000;0;0;-
Ceilândia (Norte) | Apartamento 2 quartos, sendo 1 suite;QNO 12 Área Especial CCeilândia Norte;58;2;1;2;1;305000;360;-;-
EXCELENTE APARTAMENTO COM 108M², DE 3 QUARTOS SENDO 1 SUÍTE - GUARÁ II, BRASÍLIA;-;200;3;1;2;0;285000;-;-;-
Núcleo Bandeirante | Apartamento 2 quartos;Terceira Avenida Área Especial 13Núcleo Bandeirante;54;2;0;1;0;220000;270;422;-
Veja como conseguir o seu...;QR 407 Conjunto 11Samambaia Norte;33;2;-;1;1;161900;-;-;-
Asa Sul | Apartamento 2 quartos;SQS 413 Bloco FAsa Sul;56;2;0;1;0;550000;360;-;-
Apartamento 4 quartos em Águas Claras;Rua 28Sul;327;4;2;5;3;1280000;1800;0;-
Vicente Pires | Apartamento 2 quartos, sendo 1 suite;Rua 4A Chácara 112Setor Habitacional Vicente Pires;54;2;1;3;1;240000;290;-;-
Apartamento de 02 Quartos no Jardins Mangueiral (2º andar) na QC 08 por R$295.000,00;-;48;2;-;1;1;295000;-;-;-
APARTAMENTO DE CANTO!!! VISTA LIVRE!!! COM LAZER!!! SQN 311!!!;SQN 311Asa Norte;162;4;2;4;2;2095000;1737;1967;-
Taguatinga (Norte) | Apartamento 2 quartos;EQNM 38/40 Área Especial s/nTaguatinga Norte;50;2;0;1;0;180000;-;-;-
Ceilândia (Norte) | Apartamento 2 quartos;QNN 11Ceilândia Norte;48;2;-;1;1;230000;405;200;-
APARTAMENTO NO PARANOÁ PARK !!!!!!;-;50;2;0;1;1;69999;-;-;-
Apartamento para Venda em Brasília, Norte (Águas Claras), 1 dormitório, 1 banheiro, 1 vaga;Rua CopaíbaNorte;44;1;0;1;1;400000;478;0;-
OPORTUNIDADE ÚNICA! Excelente apto 2Quartos C/suíte! 65m²! QS 16! Riacho Fundo I! Confira!;CLN 5 Bloco JRiacho Fundo I;-;2;1;2;-;110000;0;0;-
Taguatinga (Norte) | Apartamento 2 quartos;QNE 6Taguatinga Norte;75;2;-;2;0;190000;-;-;-
OPORTUNIDADE ÚNICA! Apartamento Res. Viva Arquitetura! 2Quartos C/suíte! Ac.Financiamento!;Quadra 101Samambaia Sul;-;2;1;2;1;344900;0;0;-
Vista Park Sul! Mobiliado! Lazer Completo;SGCV Lote 13Zona Industrial;61;1;0;1;1;310000;494;667;-
Apartamento 101 metros quadrados com 3 quartos rua 8 Vicente Pires elevador e garagem;Rua 8 Chácara 220Setor Habitacional Vicente Pires;115;3;1;2;1;310000;-;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 3 suites;Quadra 209Sul;127;3;3;6;2;1100000;900;-;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Rua 18Norte;70;3;1;2;1;551000;443;743;-
SQS 413 - OPORTUNIDADE PARA INVESTIMENTO OU MORADIA!;SQS 413Asa Sul;50;1;0;1;0;440000;400;874;-
Águas Claras (Norte) | Apartamento 2 quartos;Rua das FigueirasNorte;45;2;-;1;1;330000;-;-;-
Edvaldo Moreira Vende Apartamento 2 Quartos Com Suite San Martin Residence Samambaia Sul Brasilia DF;QS 303 Conjunto 2Samambaia Sul;62;2;1;1;1;215000;237;436;-
Brazil Imobiliária Vende Apartamento 03 Quartos no Residencial Santos Dumont;QBR 2 Bloco OResidencial Santos Dumont;-;3;0;2;2;340000;0;0;-
Taguatinga (Norte) | Apartamento 2 quartos, sendo 1 suite;QI 24Setor Industrial;64;2;1;2;1;310000;350;503;-
Samambaia (Norte) | Apartamento 2 quartos;QS 421 Conjunto BSamambaia Norte;59;2;-;1;1;230000;435;-;-
Águas Claras (Sul) | Apartamento 1 quarto, sendo 1 suite;Avenida das AraucáriasSul;38;1;1;1;1;320000;-;-;-
OPORTUNIDADE ÚNICA!! Lindo 2 Quartos c/suíte e Varanda! QN 7! Localização Privilegiada! Confira!;QN 7Riacho Fundo I;-;2;1;2;-;259900;0;0;-
Renda a partir de 1800, subsídio até 29 mil;QR 407 Conjunto 6Samambaia Norte;48;2;-;1;1;164990;-;-;-
Novo lançamento até 100% financiado, Ap com quintal, veja como conseguir;QR 407 Conjunto 7Samambaia Norte;47;2;-;1;1;165000;-;-;-
Edvaldo Moreira Vende Lote Com 6 Apartamentos/Kits de 1 Quarto Qnn 03 Ceilandia Norte Brasilia DF;QNN 3 Conjunto ICeilândia Norte;40;6;0;1;0;345000;-;0;-
Águas Claras (Sul) | Apartamento 4 quartos, sendo 3 suites;Avenida das AraucáriasSul;180;4;3;4;3;1500000;850;1000;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 1 suite;Rua das CarnaúbasNorte;67;2;1;3;1;467356;-;-;-
Apartamento com 2 dormitórios à venda, 64 m² por R$ 500.000,00 - Águas Claras Norte - Águas Claras/D;Rua 20Norte;64;2;1;1;1;500000;442;0;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Rua 21Norte;72;3;1;3;1;620000;-;-;-
JARDIM BRASIL - 02 QUARTOS - REFORMADO;-;53;2;1;2;1;550000;540;-;-
Sudoeste | Apartamento 4 quartos, sendo 2 suites;SQSW 302Setor Sudoeste;150;4;2;6;2;2000000;1500;-;-
Polo de Modas - Rua 10- 2 Quartos - Guará ll;Rua 10Guará II;90;2;0;1;0;250000;60;0;-
BRASÍLIA - Apartamento Padrão - SETOR HABITACIONAL VICENTE PIRES;-;392;4;3;5;0;480000;-;-;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 1 suite;Quadra 102 Praça PerdizNorte;69;2;1;2;2;530000;478;-;-
QI 3 - 2 Quartos - 2 Vagas de Garagem;QI 3 Bloco PGuará I;90;2;0;2;2;360000;300;0;-
Águas Claras (Sul) | Apartamento 2 quartos, sendo 1 suite;Rua 22Sul;77;2;1;2;1;589000;770;1073;-
ATENÇÃO!! Urgentee! Vendo lindo apartamento! Fino acabamento! 36m²! QN1! Confira!;QN 1Riacho Fundo I;-;1;-;1;-;122900;0;0;-
Vendo apartamento 3 quartos vicente pires rua 8 ...;Rua 8Setor Habitacional Vicente Pires;-;3;1;1;1;320000;0;0;-
Apartamento com 1 dormitório à venda, 32 m² por R$ 185.000,00 - Sudoeste - Brasília/DF;QRSW 2 Bloco B-1Setor Sudoeste;32;1;0;1;0;185000;0;0;-
Vendo apartamento 3 quartos vicente pires rua 8 ...;Rua 8Setor Habitacional Vicente Pires;-;3;1;1;1;320000;0;0;-
Vendo apartamento 3 quartos vicente pires rua 8 ...;Rua 8Setor Habitacional Vicente Pires;-;3;1;1;1;320000;0;0;-
Vendo apartamento 3 quartos vicente pires rua 8 ...;Rua 8Setor Habitacional Vicente Pires;-;3;1;1;1;320000;0;0;-
Renda passiva 7.200,00!!!;SQS 214Asa Sul;600;5;-;5;5;950000;-;-;-
BRASÍLIA - Apartamento Padrão - SETOR DE HABITAÇÕES INDIVIDUAIS NORTE;-;82;3;1;3;2;1195000;320;-;-
Asa Norte | Apartamento 1 quarto;SCRN 704/705 Bloco DAsa Norte;44;1;-;1;-;300000;530;330;-
ATENÇÃO! URGENTE! Lindo apartamento 2Quartos! Ac. Financiamento! Vaga de garagem!;CLN 5 Bloco JRiacho Fundo I;-;2;-;1;1;304900;0;0;-
Apartamento programa casa Verde e amarela e facilidades pela construtora;QR 407 Conjunto 8Samambaia Norte;47;2;-;1;1;160000;-;-;-
Edvaldo Moreira Vende Apartamento 2 Quartos com suíte, lazer, Residencial SANTORINNI, Samambaia Sul;Quadra 301 Conjunto 7Samambaia Sul;60;2;1;1;1;250000;300;0;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 13Taguatinga Norte;65;2;-;1;1;250000;420;-;-
Águas Claras (Sul) | Apartamento 4 quartos, sendo 2 suites;Rua 3Sul;153;4;2;4;2;990000;935;1650;-
Aceita FGTS e Financiamento! Piazza Vitta!;SCRN 704/705 Bloco BAsa Norte;51;1;0;1;0;370000;468;577;-
Noroeste!!! Nascente!!! Porcelanato!!! Com 2 Vagas!!!;SQNW 103Setor Noroeste;172;2;1;3;2;1260000;885;0;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Rua BabaçuSul;92;3;1;3;2;799000;485;1400;-
2 Quartos - Com Varanda - Lazer - Próximo do metrô;CSE 6Taguatinga Sul;80;2;1;2;1;520000;500;0;-
Sudoeste | Apartamento 3 quartos, sendo 1 suite;SQSW 102 Bloco LSetor Sudoeste;120;3;1;2;2;1561800;1400;3500;-
Taguatinga (Sul) | Apartamento 2 quartos;QSE 9Taguatinga Sul;44;2;-;1;1;220000;150;50;-
ÚLTIMA UNIDADE!!! APROVEITE HOJE!!!;-;60;2;0;1;1;49999;0;0;-
ATENÇÃO! URGENTE!$ 44.900 $ ágio amplo ! Prestações R$ 600! 38m²! Amplo! Localização 100%!;QN 509Samambaia Sul;-;1;-;1;-;44900000;0;0;-
Asa Sul | Apartamento 2 quartos, sendo 1 suite;SQS 211Asa Sul;120;2;1;2;1;1650000;1200;2200;-
ATENÇÃO! URGENTE! Lindo apartamento! QN 1! Riacho 1! 2 Quartos! Localização 100%! Confira!;QN 1Riacho Fundo I;-;2;-;1;-;109900;0;0;-
Taguatinga (Norte) | Apartamento 2 quartos;QNL 2 Bloco DTaguatinga Norte;73;2;-;1;1;240000;390;400;-
OPORTUNIDADE ÚNICA! Excelente apto 50m² térrea! Ao lado do centro comercial! Av. Sucupira!;CLN 5 Bloco JRiacho Fundo I;-;1;-;1;-;89900;0;0;-
Asa Norte | Apartamento 2 quartos;SHCGN 706Asa Norte;75;2;-;1;-;630000;700;1200;-
Oportunidade Excelente 02 Casas em 01 Lote de 300 Metros;Rua 11Condomínio Privê Lucena Roriz;300;2;-;2;5;175000;-;-;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 1Taguatinga Norte;65;2;-;1;1;220000;574;874;-
Taguatinga (Centro) | Apartamento 3 quartos, sendo 1 suite;C 6Taguatinga Centro;91;3;1;2;2;639000;525;900;-
Ceilândia (Norte) | Apartamento 2 quartos, sendo 1 suite;QNO 12Ceilândia Norte;62;2;1;1;1;380000;-;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Avenida Pau BrasilSul;83;3;1;3;1;740000;-;-;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 1Taguatinga Norte;82;2;0;2;1;300000;311;841;-
AGIO APARTAMENTO NA SAMAMBAIA;QR 401Samambaia Norte;33;1;0;1;1;90000;0;0;-
Guará II | Apartamento 3 quartos;Rua 12Guará II;50;3;-;1;-;125000;60;418;-
Quadra 107 - 2 Quartos - Lazer completo - Localização privilegiada - Completo em armários;Quadra 107 Rua ENorte;53;2;0;1;1;310000;600;0;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 8Taguatinga Norte;60;2;0;1;1;280000;334;-;-
Apartamento com 1 dormitório mobiliado à venda, 27 m² por R$ 220.000 - Asa Sul - Brasília/DF;SGAS 910Asa Sul;28;1;0;1;0;220000;279;745004;-
Taguatinga (Norte) | Apartamento 2 quartos;Setor SAGOCATaguatinga Norte;64;2;0;1;1;270000;380;1300;-
APARTAMENTO, 04 QUARTOS, 03 SUÍTES, ELEVADOR, REFORMADO, VAZADO, VAGA COBERTA, VISTA LIVRE, SQS 311,;-;148;4;3;5;1;1800000;1500;248;-
Taguatinga (Sul) | Apartamento 3 quartos;CSBTaguatinga Sul;98;3;-;1;1;320000;555;586;-
Águas Claras (Norte) | Apartamento 1 quarto;Rua das FigueirasNorte;45;1;-;1;1;260000;260;-;-
Águas Claras - Apartamento Padrão - Sul (Águas Claras);-;89;3;1;2;1;595000;595;128;-
Areal (Águas Claras) | Apartamento 1 quarto;QS 7 Rua 800Areal;71;1;-;1;1;245000;296;642;-
SEPS 713/913 - GOLDEN PLACE - KIT MOBILIADA COM VAGA DE GARAGEM!;SEPS 713/913Asa Sul;25;1;0;1;1;315000;290;1800;-
Águas Claras (Norte) | Apartamento 1 quarto, sendo 1 suite;Rua das PaineirasNorte;30;1;1;1;1;230000;380;-;-
Vendo - Apartamento 02 Quartos em Samambaia!;QR 614 Conjunto 1Samambaia Norte;50;2;-;1;0;130000;-;-;-
Ótimo Apartamento de 02 Quartos (2º andar) no Jardins Mangueiral QC 09 por R$275.000,00;-;48;2;-;1;1;275000;-;-;-
Lago Norte | Duplex 2 quartos;CA 9Setor de Habitações Individuais Norte;63;2;-;2;1;710000;600;-;-
Águas Claras (Sul) | Apartamento 4 quartos, sendo 3 suites;Quadra 210Sul;124;4;3;3;2;1200000;1033;-;-
Asa Norte | Apartamento 1 quarto, sendo 1 suite;SCLRN 712 Bloco DAsa Norte;50;1;1;2;0;200000;-;-;-
Apartamento 2 quartos - Avenida Sucupira;Avenida SucupiraRiacho Fundo I;70;2;-;1;0;160000;-;-;-
Taguatinga (Sul) | Apartamento 3 quartos, sendo 1 suite;CSA 3Taguatinga Sul;88;3;1;2;1;440000;700;-;-
Águas Claras (Norte) | Apartamento 1 quarto, sendo 1 suite;Rua das CarnaúbasNorte;29;1;1;1;1;260000;-;-;-
Apartamento 2 quartos Vicente Pires Feira oportunidade investidor troca carro;Rua 4A Área FeiraSetor Habitacional Vicente Pires;55;2;0;1;0;130000;-;-;-
BARATO! URGENTE! Lindo apartamento! 1 Quarto! Localização Privilegiada! Frente! Ac.Carro!;CLN 5 Bloco JRiacho Fundo I;-;1;-;1;-;99900;0;0;-
SRIA QI 23 - ED GUARA NOBRE - 2 QUARTOS, PRÓXIMO A ESTAÇÃO DO METRÔ!;QI 23 Lote 2/6Guará II;60;2;0;1;1;435000;510;722;-
Ótimo Apartamento de 02 Quartos (3º andar) no Jardins Mangueiral QC 08 por R$285.000,00;-;48;2;-;1;1;285000;-;-;-
Asa Sul | Apartamento 3 quartos, sendo 1 suite;SQS 413Asa Sul;89;3;1;3;0;860000;330;1960;-
Guará II | Apartamento 2 quartos;QE 40Guará II;90;2;-;1;-;220000;-;-;-
Taguatinga (Norte) | Apartamento 2 quartos;QI 3Setor Industrial;60;2;-;1;1;275000;350;-;-
Samambaia (Norte) | Apartamento 2 quartos, sendo 1 suite;QN 408 Conjunto ESamambaia Norte;53;2;1;2;1;330000;278;400;-
Asa Norte | Apartamento 2 quartos, sendo 2 suites;SHN Quadra 5Asa Norte;66;2;2;2;0;337000;2024;1095;-
Taguatinga (Sul) | Apartamento 2 quartos;CSB 9Taguatinga Sul;88;2;-;1;0;175000;427;655;-
Apartamento com 2 dormitórios à venda, 62 m² por R$ 720.000,00 - Sudoeste - Brasília/DF;QRSW 3Setor Sudoeste;62;2;0;1;1;720000;450;0;-
Águas Claras (Sul) | Apartamento 1 quarto;Quadra 205Sul;40;1;-;1;1;405000;350;750;-
Riacho Fundo - Apartamento Padrão - Riacho Fundo I;-;63;2;0;1;-;170000;-;100;-
APARTAMENTO PRÓXIMO AO LAGO!!!;-;50;2;0;1;1;50000;-;-;-
Asa Norte | Apartamento 1 quarto;SCLRN 716Asa Norte;44;1;-;1;0;275000;-;-;-
Apartamento para Venda em Riacho Fundo, Riacho Fundo II, 2 dormitórios, 1 banheiro, 1 vaga;QN 21 Conjunto 2Riacho Fundo II;50;2;0;1;1;200000;145;253;-
Samambaia (Norte) | Apartamento 2 quartos;QR 410 Conjunto 15-ASamambaia Norte;45;2;-;1;1;195000;440;300;-
Apartamento para venda tem 45 metros quadrados com 1 quarto em Zona Industrial - Brasília - DF;Parque Capital Digital Lote 4Zona Industrial;9000;1;0;1;1;36800;460;390;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 2 suites;Quadra 205Sul;104;3;2;3;2;865000;850;-;-
Águas Claras (Sul) | Apartamento 4 quartos, sendo 2 suites;Rua 19Sul;164;4;2;9;3;1150000;1250;-;-
Águas Claras (Norte) | Apartamento 2 quartos;Rua 7Norte;51;2;0;1;1;459990;480;-;-
Águas Claras (Sul) | Apartamento 2 quartos, sendo 1 suite;Rua 31Norte;57;2;1;1;1;500000;-;-;-
Lazer completo no Pilotis Fechado! Nascente, de Canto, 2 Vagas Soltas, Andar Alto;CCSW 4Setor Sudoeste;193;3;1;3;2;1500000;1108;2844;-
Taguatinga (Norte) | Apartamento 2 quartos;QI 24Setor Industrial;50;2;-;1;1;300000;360;-;-
Taguatinga (Norte) | Apartamento 2 quartos;CNBTaguatinga Norte;102;2;-;1;1;300000;-;-;-
Taguatinga (Norte) | Apartamento 3 quartos, sendo 1 suite;CND 5Taguatinga Norte;120;3;1;2;0;320000;203;-;-
Águas Claras (Norte) | Apartamento 1 quarto;Rua 5Norte;40;1;-;1;1;385000;280;700;-
Vendo um apartamento na Quadra 2 da Vila Buritis;-;47;2;-;1;1;170000;-;-;-
Apartamento com 3 dormitórios à venda, 90 m² por R$ 580.000,00 - Águas Claras Norte - Águas Claras/D;Quadra 106Norte;90;3;1;2;2;580000;0;1250;-
Apartamento 3 quartos nascente frente livre QNL 01 Taguatinga;QNL 1 Bloco CTaguatinga Norte;50;3;-;1;1;200000;0;0;-
Oportunidade Única! Vendo excelente apto! 1Quarto! C/ Elevador! Riacho Fundo 1!Confira!;CLN 5 Bloco JRiacho Fundo I;-;1;-;1;-;119900;0;0;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 1 suite;Rua 18Norte;111;2;1;3;1;980000;715;1161;-
Realize seu sonho e saia do aluguel , veja as facilidades;QR 407 Conjunto 4Samambaia Norte;47;2;-;1;1;165000;-;-;-
Excelente oportunidade de compra, apartamento em condomínio fechado na Asa norte;STNAsa Norte;28;1;1;1;-;225000;347;0;-
Taguatinga (Sul) | Apartamento 1 quarto, sendo 1 suite;CSG 3Taguatinga Sul;46;1;1;1;1;320000;340;-;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Rua 9Norte;81;3;1;3;2;740000;680;1300;-
Vicente Pires | Duplex 3 quartos, sendo 3 suites;Rua 3Setor Habitacional Vicente Pires;203;3;3;7;3;1400000;450;600;-
Ceilândia (Sul) | Apartamento 2 quartos, sendo 1 suite;QNN 12Ceilândia Sul;57;2;1;3;1;255000;358;-;-
Ceilândia (Norte) | Apartamento 2 quartos, sendo 1 suite;QNO 10 Área Especial PCeilândia Norte;45;2;1;2;1;320000;345;-;-
Águas Claras (Sul) | Apartamento 3 quartos, sendo 1 suite;Quadra 204Sul;130;3;1;2;2;840000;790;678;-
COMPRO APARTAMENTO NO ITAPÕA PARQUE!!!!!;-;-;2;0;1;1;40000;0;0;-
Asa Sul | Apartamento 1 quarto;SQS 405Asa Sul;49;1;0;1;0;399000;338;783;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 11Taguatinga Norte;60;2;0;1;0;205000;391;-;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 2 suites;Quadra 102 Praça PerdizNorte;130;2;2;4;2;999999;-;-;-
Águas Claras (Sul) | Apartamento 2 quartos, sendo 1 suite;Avenida das AraucáriasSul;61;2;1;2;1;580000;420;876;-
Lúcio Costa | Apartamento 3 quartos;EPTG QE 3 Bloco A-7Quadras Econômicas Lúcio Costa;85;3;-;1;2;310000;500;645;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Quadra 106Norte;91;3;1;2;1;750000;730;1116;-
Ceilândia (Sul) | Apartamento 1 quarto;QNM 3 Conjunto ACeilândia Sul;41;1;-;1;0;130000;222;-;-
Asa Norte | Apartamento 1 quarto, sendo 1 suite;SHTN Trecho 2Asa Norte;30;1;1;1;1;500000;449;-;-
APARTAMENTO NO LAGO NORTE!!!;SQS 214Asa Sul;60;1;-;1;1;400000;-;-;-
Águas Claras (Norte) | Apartamento 1 quarto;Rua 7Norte;40;1;-;1;1;355000;410;666;-
Samambaia (Norte) | Apartamento 2 quartos;QR 212 Conjunto 11Samambaia Norte;50;2;-;1;1;265000;320;-;-
Apartamento para venda com 46 metros quadrados com 2 quartos em Riacho Fundo I - Brasília - DF;QS 16 Conjunto 1BRiacho Fundo I;-;2;-;1;-;150000;0;0;-
Águas Claras (Norte) | Apartamento 4 quartos, sendo 2 suites;Avenida Parque Águas ClarasNorte;112;4;2;3;1;990000;897;-;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Quadra 104Norte;139;3;1;4;1;895000;867;1200;-
Sudoeste | Apartamento 1 quarto, sendo 1 suite;CCSW 5Setor Sudoeste;42;1;1;1;0;265000;300;454;-
Triplex à venda - 3 Quartos - 1 Suíte - Móveis Planejados - Alto padrão;Rua 12 Chácara 129A Conjunto ESetor Habitacional Vicente Pires;167;3;2;4;1;465000;80;0;-
Vendo Aptº Res. Jardim dos Ipês, 3Qts sendo 1 Suíte, área de lazer - Águas Claras-DF;Rua Ipê AmareloSul;109;3;-;2;2;800000;0;0;-
Mangueiral | Apartamento 2 quartos;Quadra QC 14 Rua CJardins Mangueiral;56;2;-;1;1;280000;289;-;-
Taguatinga (Norte) | Apartamento 2 quartos;CNB 10Taguatinga Norte;54;2;-;1;0;259000;550;700;-
Polo de Modas - Rua 10 - 2 Quartos - Térreo - Guara II;Rua 10Guará II;60;2;0;1;0;180000;60;0;-
Apartamento pronto grande Vicente Pires;CNM 2Ceilândia Centro;102;3;-;2;1;310000;200;90;-
Samambaia (Norte) | Apartamento 2 quartos, sendo 1 suite;QI 416Samambaia Norte;60;2;1;2;1;350000;500;380;-
Águas Claras (Norte) | Apartamento 3 quartos, sendo 1 suite;Rua Ipê AmareloNorte;127;3;1;1;1;890000;-;-;-
Vicente Pires | Apartamento 3 quartos;Chácara 64Setor Habitacional Vicente Pires - Trecho 3;84;3;-;1;-;350000;200;-;-
Taguatinga (Norte) | Apartamento 2 quartos;QI 24Setor Industrial;68;2;0;1;1;291000;329;-;-
Riacho Fundo - Apartamento Padrão - Riacho Fundo I;-;35;1;1;1;-;110000;180;125;-
APARTAMENTO EM TAGUATINGA!!!;-;64;3;0;3;0;89999;320;0;-
COMPRO APARTAMENTO, PAGO Á VISTA !!!!;-;50;2;0;1;1;40000;0;0;-
Areal (Águas Claras) | Apartamento 1 quarto, sendo 1 suite;QS 7 Rua 820Areal;30;1;1;2;1;210000;210;-;-
